id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length
400740,XE,3036,IAH,CHS,4.0,1195,131.0
194808,UA,315,DEN,ONT,7.0,707,145.0
526903,OO,6673,SFO,MRY,5.0,499,42.0
477937,WN,3668,PHX,ONT,2.0,810,70.0
48180,AS,623,LAS,PDX,5.0,985,143.0
143599,FL,657,ATL,SAT,4.0,625,160.0
359332,AA,637,MIA,MSY,2.0,965,130.0
397507,XE,2617,PVD,EWR,4.0,1027,78.0
254377,WN,852,BUR,SJC,3.0,1055,65.0
395534,CO,1529,CLE,TPA,4.0,925,156.0
488045,UA,132,PDX,ORD,3.0,381,235.0
407937,DL,1552,MKE,DTW,5.0,625,78.0
56634,AS,495,SAN,SEA,6.0,510,183.0
93534,FL,532,ATL,MEM,1.0,760,85.0
192556,AA,2287,TUL,DFW,7.0,595,75.0
467394,AA,372,SJU,TPA,1.0,1245,180.0
446665,FL,277,BOS,ATL,7.0,1118,172.0
110885,DL,1614,FLL,JFK,2.0,746,179.0
194959,XE,2277,IAH,BRO,7.0,715,63.0
154324,AA,438,TPA,MIA,4.0,1190,65.0
445190,OO,4463,DEN,SLC,7.0,1040,96.0
123431,OO,6518,ORD,ICT,3.0,496,114.0
159073,FL,501,MKE,LGA,5.0,495,124.0
